id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,89,5070,241,9,11,5073.984375,247.5625,0.8851641416549683,0.9560439586639404,4695.0,195.0,1617.0,116.0
1,161,5270,246,14,14,5276.109375,254.8125,0.8809269666671753,0.9695122241973877,4695.0,195.0,1617.0,116.0
2,188,70,258,12,18,75.84375,258.4375,0.9288063049316406,0.9841269850730896,0.0,195.0,1618.0,116.0
3,456,2338,248,21,24,2348.71875,262.0625,0.92025226354599,0.9825708270072937,1565.0,195.0,1618.0,116.0
4,249,3960,268,15,19,3964.28125,265.6875,0.943579375743866,0.9800000190734863,3130.0,195.0,1618.0,116.0
5,152,4714,268,11,16,4722.71875,280.1875,0.9025830030441284,0.9803921580314636,3130.0,195.0,1618.0,116.0
6,249,3155,255,14,20,3155.28125,269.3125,0.9018879532814026,0.9607843160629272,3130.0,195.0,1618.0,116.0
7,444,5424,0,23,20,5427.703125,12.90625,0.9052554368972778,0.9755011200904846,4695.0,0.0,1617.0,118.0
8,294,5371,115,19,18,5377.171875,125.84375,0.9360861778259277,0.9864864945411682,4695.0,65.0,1617.0,118.0
9,175,5770,141,13,17,5781.421875,147.96875,0.8893240690231323,0.9717513918876648,4695.0,65.0,1617.0,118.0
10,104,4718,124,11,10,4720.265625,133.21875,0.8876835703849792,0.9903846383094788,4695.0,65.0,1617.0,118.0
11,3834,0,0,95,80,25.28125,38.71875,0.9822447299957275,0.9862694144248962,0.0,0.0,1618.0,118.0
12,3360,0,0,77,65,25.28125,35.03125,0.922525942325592,0.9750513434410095,0.0,0.0,1618.0,118.0
13,9817,0,134,927,28,480.34375,151.65625,0.966893196105957,0.9606707692146301,0.0,65.0,1618.0,118.0
14,662,104,190,27,31,126.40625,201.90625,0.9075246453285217,0.9775112271308899,0.0,130.0,1618.0,118.0
15,327,2802,12,22,20,2803.78125,16.59375,0.9056230783462524,0.9848024249076843,1565.0,0.0,1618.0,118.0
16,430,1792,121,24,22,1792.53125,125.84375,0.9272420406341553,0.9723502397537231,1565.0,65.0,1618.0,118.0
17,159,1586,135,12,14,1590.28125,140.59375,0.8902891874313354,0.9937499761581421,1565.0,65.0,1618.0,118.0
18,486,1882,165,23,34,1893.65625,172.40625,0.9084621667861938,0.9735234379768372,1565.0,130.0,1618.0,118.0
19,160,2039,200,12,15,2045.34375,205.59375,0.8956714868545532,0.9814814925193787,1565.0,130.0,1618.0,118.0
20,232,3900,0,15,16,3913.71875,9.21875,0.9176089763641357,0.9829787015914917,3130.0,0.0,1618.0,118.0
21,207,3604,23,18,14,3610.34375,35.03125,0.9105528593063354,0.980861246585846,3130.0,0.0,1618.0,118.0
22,331,3398,25,23,19,3408.09375,35.03125,0.9071989059448242,0.9850746393203735,3130.0,0.0,1618.0,118.0
23,292,4370,204,17,20,4368.78125,209.28125,0.9357425570487976,0.9863481521606445,3130.0,130.0,1618.0,118.0
24,172,4218,177,15,14,4217.09375,179.78125,0.8994453549385071,0.9941860437393188,3130.0,130.0,1618.0,118.0
25,310,3550,194,19,20,3559.78125,198.21875,0.8926632404327393,0.9712460041046143,3130.0,130.0,1618.0,118.0
26,192,3447,167,17,14,3458.65625,172.40625,0.8842508792877197,0.9896907210350037,3130.0,130.0,1618.0,118.0
27,1903959,0,0,6311,307,98.625,276.984375,1.0373857021331787,0.9802951812744141,0.0,0.0,6312.0,311.0
